split,cluster,band,cost,direction,retained,contracts,events,trades
test,3,2,27,N,True,24,24,107
test,3,2,27,Y,True,22,22,92
test,3,2,28,N,True,20,20,92
test,3,2,28,Y,True,22,22,74
test,3,2,29,N,True,22,22,117
test,3,2,29,Y,True,27,27,113
test,3,2,30,N,True,27,26,115
test,3,2,30,Y,True,23,23,191
test,3,3,31,N,True,18,18,96
test,3,3,31,Y,True,23,23,139
test,3,3,32,N,True,24,24,97
test,3,3,32,Y,True,25,25,110
test,3,3,33,N,True,21,21,102
test,3,3,33,Y,True,20,20,107
test,3,3,34,N,True,20,20,92
test,3,3,34,Y,True,16,16,74
test,3,3,35,N,True,26,26,231
test,3,3,35,Y,True,18,18,70
test,3,3,36,N,True,26,26,145
test,3,3,36,Y,True,22,22,89
test,3,3,37,N,True,22,22,120
test,3,3,37,Y,True,19,19,96
test,3,3,38,N,True,26,26,106
test,3,3,38,Y,True,26,26,143
test,3,3,39,N,True,21,21,214
test,3,3,39,Y,True,24,24,84
test,3,3,40,N,True,25,25,126
test,3,3,40,Y,True,20,20,69
test,3,4,41,N,True,26,26,147
test,3,4,41,Y,True,23,23,125
test,3,4,42,N,True,29,29,143
test,3,4,42,Y,True,24,24,307
test,3,4,43,N,True,34,34,147
test,3,4,43,Y,True,27,27,279
test,3,4,44,N,True,27,27,188
test,3,4,44,Y,True,31,31,312
test,3,4,45,N,True,43,43,237
test,3,4,45,Y,True,31,30,163
test,3,4,46,N,True,32,32,334
test,3,4,46,Y,True,34,34,118
test,3,4,47,N,True,30,30,134
test,3,4,47,Y,True,26,26,306
test,3,4,48,N,True,36,35,119
test,3,4,48,Y,True,33,32,271
test,3,4,49,N,True,27,26,182
test,3,4,49,Y,True,31,30,97
test,4,0,1,Y,False,2,1,368
test,4,0,2,Y,False,2,1,575
test,4,0,3,Y,False,1,1,104
test,4,0,4,Y,False,1,1,47
test,4,0,5,Y,False,1,1,10
test,4,0,6,Y,False,1,1,4
test,4,0,7,Y,False,1,1,2
test,4,0,10,Y,False,1,1,2
test,4,1,11,Y,False,1,1,2
test,5,0,3,Y,False,1,1,1
test,5,0,5,Y,False,1,1,1
test,5,0,6,Y,False,1,1,4
test,5,0,7,Y,False,1,1,1
test,5,0,8,Y,False,1,1,1
test,5,0,9,Y,False,1,1,2
test,5,0,10,N,False,1,1,2
test,5,0,10,Y,False,1,1,3
test,5,1,11,N,False,1,1,1
test,5,1,11,Y,False,1,1,2
test,5,1,12,N,False,1,1,1
test,5,1,13,N,False,1,1,1
test,5,1,15,N,False,1,1,1
test,5,1,17,N,False,1,1,1
test,5,1,18,N,False,1,1,1
test,5,2,23,N,False,1,1,1
test,5,2,24,N,False,1,1,1
test,5,2,25,N,False,1,1,1
test,5,2,27,N,False,1,1,1
test,5,2,29,N,False,1,1,1
test,5,2,30,Y,False,1,1,1
test,5,3,32,Y,False,1,1,3
test,5,3,34,Y,False,1,1,1
test,5,3,35,Y,False,1,1,2
test,5,3,36,Y,False,2,2,2
test,5,3,37,Y,False,1,1,1
test,5,3,38,Y,False,1,1,1
test,5,3,39,Y,False,1,1,1
test,5,3,40,Y,False,1,1,1
test,5,4,42,N,False,1,1,1
test,5,4,44,N,False,1,1,1
test,5,4,45,N,False,1,1,2
test,5,4,45,Y,False,1,1,1
test,5,4,47,N,False,1,1,2
test,6,0,1,N,True,5,5,20
test,6,0,1,Y,True,9,5,403
test,6,0,2,N,False,3,3,6
test,6,0,2,Y,False,6,4,667
test,6,0,3,N,False,3,2,4
