approach,split,cluster,band,cost_low,cost_high,costs,n_costs,contracts,events,trades_total,contracts_Y,events_Y,trades_Y,contracts_N,events_N,trades_N,training_text_coherence,status,delta_yes_pp,delta_no_pp,wedge_pp,ci_low_pp,ci_high_pp,se_pp,bootstrap_valid,mean_price,price_sd,log_trades,log_units,words,characters,mean_word_length,question_mark,threshold,negation,positive_words,negative_words,political_words,capitalized_tokens,number_tokens,punctuation,lsa_00,lsa_01,lsa_02,lsa_03,lsa_04,lsa_05,lsa_06,lsa_07,lsa_08,lsa_09,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20,lsa_21,lsa_22,lsa_23,lsa_24,lsa_25,lsa_26,lsa_27,lsa_28,lsa_29,lsa_30,lsa_31,cost_mean
text_price,test,2,0,1,10,,0,0,0,0,0,0,0,0,0,0,0.6177959893390226,insufficient_coherence,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_price,test,2,1,11,20,20,1,12,10,16,7,5,10,5,5,6,0.6177959893390226,insufficient_coherence,,,,,,,0,0.4281104205461937,0.07660467092730573,3.388634522166129,7.656967765746519,6.5,40.75,5.165891053391053,1.0,0.25,0.0,0.0,0.0,0.0,3.3333333333333335,0.5,0.08333333333333333,0.1041939004693402,0.04902285700767594,0.023560812593199393,0.1743476492950952,-0.011560933136823234,-0.09798395847984932,0.3601913673274994,0.02176152560909038,-0.02672516893806183,0.019773931772976476,-0.07200212951897043,0.1022337852631214,0.03323913123657748,0.006653175337954045,-0.07115758493944273,-0.007809774839308681,0.03876171682939556,-0.041065877280926595,0.03536678084095108,-0.03670769106719031,-0.04484666375386811,0.04943157432951987,0.06393520840789757,0.11267909769479066,0.039844212849399076,0.09615195087381183,0.35262031881617206,0.27996153489496906,-0.1325202262258447,-0.06153423355470591,0.05801211243963358,-0.005992332121198572,0.2
text_price,test,2,2,21,30,"22,25,26,29,30",5,33,30,255,14,14,144,21,20,111,0.6177959893390226,insufficient_coherence,,,,,,,0,0.5399213811592514,0.06198612989800133,3.122583856341515,7.074414351319867,6.757575757575758,39.878787878787875,5.036924439197166,1.0,0.12121212121212122,0.0,0.030303030303030304,0.0,0.0,3.696969696969697,0.30303030303030304,0.12121212121212122,0.09709956644740364,0.02331680309932248,0.04541218281951104,0.14532462491739534,0.0064541340349255644,-0.09061827010037171,0.311652542878543,0.0035195026796004166,-0.003271543484044476,0.006882838339750361,-0.06670796904483928,0.055607409357326255,0.047537817378584306,0.014345790668609765,-0.05094140125989698,-0.02523633291205202,0.009753662894058492,-0.029882471928143563,0.03688060547988345,-0.03288927879833026,-0.05539348576694899,0.04838568096577586,0.07434765856682665,0.056453536875086995,0.013788618145297348,0.08317766670327538,0.38682126183203,0.29442570435943705,-0.13807288917465874,-0.07977557933244694,0.04200354989281665,0.009747456819188144,0.264
text_price,test,2,3,31,40,"31,32,33,34,35,36,40",7,29,26,281,13,13,79,19,18,202,0.6177959893390226,insufficient_coherence,,,,,,,0,0.5205583616595644,0.061818301137259044,3.3380024725515827,7.196228412332665,6.793103448275862,39.310344827586206,4.930060456784595,1.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,3.896551724137931,0.2413793103448276,0.1724137931034483,0.07101621475330187,0.016850928101424217,0.04321916283866421,0.14438558809736404,0.004121962360770406,-0.09032810173162488,0.3169567679398255,-0.003812401501163197,0.026514972289315677,0.012161858432047836,-0.04515586884691352,0.0757527491807292,0.03713155147587089,0.007115215787067236,-0.06064614278534952,-0.026680412440692254,0.008747943429196416,-0.03531789821861997,0.04372602815024805,-0.03449596887059416,-0.04914045241727184,0.0366961106220085,0.07291961793637389,0.06096721023100041,0.012046299563551102,0.09514168008246908,0.38688022209247186,0.29354953152604824,-0.13898931846804882,-0.07476059754083204,0.06457305371206616,-0.007679235626247709,0.3442857142857143
text_price,test,2,4,41,49,"41,42,43,45,47",5,21,19,216,13,12,89,13,12,127,0.6177959893390226,insufficient_coherence,,,,,,,0,0.5033107503148275,0.07392129525956721,3.403563229527182,7.193658629169503,7.285714285714286,42.04761904761905,4.917123617123617,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,3.857142857142857,0.47619047619047616,0.23809523809523808,0.09837350922155437,0.02331564752519777,0.01805928532146441,0.1363341446276812,-0.011351622713256756,-0.07329384431584095,0.2610537856617947,0.017535335358713704,-0.012823501000352889,-0.009477579673938181,-0.05295790226038316,0.060592316196769636,0.024872914352617598,-0.007251613664835961,-0.02481049150747694,0.011193200091368606,-0.003180688546154233,-0.015782767048349983,0.026861606353665815,-0.031000042585857694,-0.0682913144308315,0.08005478030524128,0.08720694764459355,0.07178351352931275,0.02598681639938391,0.08909755151546656,0.43110007641777703,0.3218727424854122,-0.16209647982381598,-0.09570263395889042,0.024724879530157097,0.014915618147357777,0.436
text_price,test,3,0,1,10,"1,3,4,5,6,7,8,9,10",9,57,47,856,33,29,589,25,25,267,0.8620615815949342,eligible,-4.516128451547471,-2.344827586206897,-2.171300865340574,-13.317320045213918,3.846977939641376,3.973153364356778,198,0.3841491033800744,0.0537213379001253,3.213693250583032,7.404715999034685,10.070175438596491,58.29824561403509,4.457316786577117,1.0,0.21052631578947367,0.0,0.017543859649122806,0.0,0.0,3.7017543859649122,1.2280701754385965,0.22807017543859648,0.14276423145863687,-0.00400297131247155,0.14848764701379838,0.0390474814342642,0.041117773103463,-0.07592834324462291,0.23612790035938405,-0.17249715495367954,0.31232580447944874,0.06092990076891225,0.1579720680132195,0.06503027636781054,-0.09960462613042512,-0.035220619458163044,0.00041848843980639536,0.04426718704095213,-0.014815841666667509,0.014307549488005993,-0.03240586944168851,0.05890796256293713,-0.05235465972027934,0.11449141273462438,0.027884500393488665,-0.07577367749627315,0.18642933341654735,0.030344757913093347,0.04356537637813221,0.0006146991557337171,0.02387347244451591,0.025774775475873042,0.5423014389491193,-0.2451376485922146,0.05888888888888889
text_price,test,3,1,11,20,"11,12,13,14,15,16,17,18,19,20",10,74,66,1662,44,39,1043,31,31,619,0.8620615815949342,eligible,-7.688275427639213,-4.484397677793904,-3.203877749845309,-16.335506596967626,13.251029251942771,7.7391919970891365,200,0.4306643097931242,0.040805923536319316,3.4824606908804645,7.622515895756791,8.067567567567568,47.04054054054054,4.735472767250261,1.0,0.0945945945945946,0.013513513513513514,0.013513513513513514,0.0,0.0,3.5135135135135136,0.7702702702702703,0.22972972972972974,0.08940512103527885,-0.002699553302587167,0.15639616829241837,0.06464070984477416,0.032692145107760556,-0.0670012060456684,0.26351484674782677,-0.18510866260103295,0.35507575420255616,0.07624478188671042,0.2099847748659771,0.14272342278258998,-0.14461639191392833,-0.043453456896586216,-0.0668769477106118,-0.012496880403579571,-0.0217094659565387,0.00428292287263246,-0.016511238913392304,0.01841200108646943,-0.016770947987134178,0.06744867321391529,0.018520460928451797,-0.027183888246255797,0.11875845929932992,0.05030011790184857,0.025608640148427442,0.009159905854537317,0.02566247296906731,0.06941917272382521,0.4938912596073345,-0.26971102307210915,0.155
text_price,test,3,2,21,30,"21,22,23,24,25,26,27,28,29,30",10,110,101,3006,59,58,2230,56,55,776,0.8620615815949342,eligible,9.418217432176156,13.169666402585573,-3.751448970409416,-23.9092178968783,19.465303889226252,11.643174165018367,198,0.477687753994505,0.04193945375538353,3.424993998281534,7.480604190878831,6.7,38.91818181818182,4.8460245068940715,1.0,0.02727272727272727,0.00909090909090909,0.00909090909090909,0.0,0.0,3.1454545454545455,0.34545454545454546,0.10909090909090909,0.07571732375324207,-0.008872999207259816,0.16251891438923813,0.09272296086941782,0.039612344784205666,-0.05050714863062982,0.2733988541770002,-0.20107326991514557,0.39295622582280954,0.08195070092828538,0.22375916717397312,0.16610983730491577,-0.14738257257181606,-0.040535793679249726,-0.09570915977324174,-0.03327338105092274,-0.02361997093244836,0.0003477056468333136,-0.006611728133155351,0.0026337486071553303,-0.014504306061187293,0.058500960939764014,0.015124656424541876,-0.025691592133795,0.10280687343177532,0.059028859040693854,0.010039559195394716,0.015238359084385486,0.02743350056288768,0.08655810827936888,0.4714002349051596,-0.2834003104328919,0.255
text_price,test,3,3,31,40,"31,32,33,34,35,36,37,38,39,40",10,140,129,2310,72,72,981,79,79,1329,0.8620615815949342,eligible,-6.7829618158575435,-4.30856805770698,-2.474393758150564,-20.804581370205693,16.712755508076373,9.28197146869277,200,0.49487659511257015,0.03784539840704928,3.298809038486692,7.175698693232255,5.921428571428572,35.392857142857146,5.065053854875283,1.0,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.0,0.0,2.9214285714285713,0.25,0.12857142857142856,0.05924356731053113,-0.009285110699850071,0.14265838168014697,0.09534140382388202,0.02617011114662589,-0.05322171653425303,0.3030206929126151,-0.2105755911413091,0.4210160113522982,0.09029990851712402,0.24277331560139523,0.21248822257018252,-0.1791190088275573,-0.045169036943432044,-0.11467673512251098,-0.018627954607746938,-0.02663109135930701,-0.005339719815593649,0.008545753487108319,-0.01657143368080362,0.010254953283017107,0.024564238203990015,0.010386196631845021,-0.007454376211171357,0.06505748903206075,0.05594662614198424,0.007835685317878307,0.019148334638239076,0.03469370367977273,0.0973586991493008,0.4454726000978413,-0.27963801473430433,0.355
text_price,test,3,4,41,49,"41,42,43,44,45,46,47,48,49",9,148,140,3609,94,92,1978,96,93,1631,0.8620615815949342,eligible,10.687019453851033,-1.743094797916658,12.43011425176769,-17.25368802184525,33.412824684950365,13.387587907418412,200,0.5024727706021229,0.03652281532074672,3.1718077502614674,6.835364292119859,5.581081081081081,33.91216216216216,5.210601466851467,1.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.0,2.8175675675675675,0.16891891891891891,0.08783783783783784,0.04709297231406328,-0.005601953161057473,0.14767436353718782,0.09813939255140976,0.03232306883802721,-0.04805486456806473,0.31504880656148015,-0.20715659116802876,0.42211582907454664,0.09389080538453957,0.24322889909865536,0.23476205348471083,-0.1876089494550478,-0.04444794115265331,-0.13166797108197295,-0.013842249520973855,-0.025166328648568704,-0.008629284348980942,0.019307000695279988,-0.024857722132544696,0.01959125939434959,0.008831312092909636,0.007245201616898801,0.0030299278454357648,0.05131928927941932,0.05056800944049897,0.004432928380363093,0.023517519802308054,0.04280415157449909,0.10598080879184406,0.4403146713549068,-0.279910537315493,0.45
